family,method,sample_id_within_method,original_row_index,question
GPT-5.4,Self-Instruct,20,1134,How does the pathophysiology of progressive insulin resistance in pregnancy influence the decision to initiate insulin rather than continue dietary therapy alone?
GPT-5.4,Self-Instruct,21,2071,Analyze the role of risk stratification in determining management priorities at different stages of pulmonary hypertension.
GPT-5.4,Self-Instruct,22,410,"Which microvascular complication typically appears earliest in uncontrolled Type 2 diabetes, and how should that risk influence long-term surveillance strategies?"
GPT-5.4,Self-Instruct,23,2053,"Summarize guideline-based management of narcolepsy during pregnancy or lactation, highlighting how risk-benefit reasoning alters standard therapy."
GPT-5.4,Self-Instruct,24,1688,"How should lifestyle modification, alcohol reduction, dietary counseling, and management of metabolic syndrome be integrated into the treatment of gouty tophus?"
GPT-5.4,Self-Instruct,25,1972,Summarize the indications for referral for lung transplantation or liver transplantation in advanced Alpha-1 Antitrypsin Deficiency.
GPT-5.4,Self-Instruct,26,528,"Interpret a pleural fluid profile using Light’s criteria: pleural protein 3.8 g/dL, serum protein 6.0 g/dL, pleural LDH 240 U/L, serum LDH 300 U/L, with a laboratory upper limit of normal serum LDH of 200 U/L."
GPT-5.4,Self-Instruct,27,2073,What is the recommended management pathway for pulmonary hypertension patients who deteriorate despite initial monotherapy?
GPT-5.4,Self-Instruct,28,1178,Describe the laboratory studies you would obtain to separate physiological jaundice from pathological jaundice in a neonate on day 3 of life.
GPT-5.4,Self-Instruct,29,1299,Elucidate how the Apgar score is calculated and interpret its significance for immediate neonatal assessment at the 1-minute and 5-minute marks.
GPT-5.4,Self-Instruct,30,1117,Detail why digital vaginal examination is contraindicated in suspected placenta previa and how this precaution influences the diagnostic sequence.
GPT-5.4,Self-Instruct,31,527,Why do inflammatory and malignant pleural processes typically meet Light’s criteria for exudative effusions?
GPT-5.4,Self-Instruct,32,2113,Explain the indications for medical therapy in mitral valve prolapse and identify which symptoms or hemodynamic findings justify pharmacologic treatment.
GPT-5.4,Self-Instruct,33,789,Examine the limitations of the Duke Criteria in culture-negative infective endocarditis and prosthetic valve infection.
GPT-5.4,Self-Instruct,34,1339,"Explain the evidence-based acute management of a sickle cell vaso-occlusive crisis in an adult presenting to the emergency department, including analgesia escalation, hydration strategy, and monitoring for early complications."
GPT-5.4,Self-Instruct,35,1283,Summarize the indications for hospital admission or specialist referral in children presenting with febrile seizures.
GPT-5.4,Self-Instruct,36,1452,Discuss the limitations of the Beers Criteria and explain why it should not be used as a rigid prohibition list in elderly care.
GPT-5.4,Self-Instruct,37,1803,Detail the recommended approach to ocular Behcet’s disease when vision-threatening inflammation is present despite initial therapy.
GPT-5.4,Self-Instruct,38,173,"Summarize the critical interventions required within 30 minutes of status epilepticus onset, integrating bedside assessment, reversible causes, and early pharmacologic management."
GPT-5.4,Self-Instruct,39,2208,"Formulate an advanced clinical question set on aneurysm screening that tests reasoning about guideline eligibility, incidental findings, and surveillance planning."
GPT-5.4,Self-Instruct,40,1717,What clinical factors should guide the choice between high-dose systemic corticosteroids alone and early rituximab-based therapy in pemphigus vulgaris?
GPT-5.4,Self-Instruct,41,1298,Compare the clinical implications of a normal 5-minute Apgar score following a depressed 1-minute score with those of persistently abnormal scores.
GPT-5.4,Self-Instruct,42,188,"Evaluate a patient with symmetric bradykinesia, early falls, and axial rigidity; which diagnosis is more likely, and why?"
GPT-5.4,Self-Instruct,43,211,"Discuss how the timing, severity, and associated signs of headache in subarachnoid hemorrhage guide urgent diagnostic reasoning."
GPT-5.4,Self-Instruct,44,1025,Trace the conceptual shift from identifying systemic inflammation to identifying dysregulated host response with organ dysfunction in sepsis definitions.
GPT-5.4,Self-Instruct,45,2075,"Summarize the hemodynamic, symptomatic, and functional features that influence stage-specific treatment planning in pulmonary hypertension."
GPT-5.4,Self-Instruct,46,1550,What pathophysiologic mechanisms link progressive loss of skeletal muscle mass and strength to frailty in geriatric populations?
GPT-5.4,Self-Instruct,47,1334,Summarize the key pathophysiologic similarities and differences between Hemophilia A and Hemophilia B for an advanced medical audience.
GPT-5.4,Self-Instruct,48,2518,Discuss how you would manage a pediatric patient with markedly elevated celiac serologies and whether biopsy can be safely deferred under guideline-based care.
GPT-5.4,Self-Instruct,49,1954,Analyze the appropriate use of HFE genetic testing in the screening pathway and clarify when it is indicated versus when it may lead to overtesting.
GPT-5.4,Self-Instruct,50,387,Detail the pathophysiologic rationale for using beta-2 microglobulin and albumin as core components of staging in multiple myeloma.
GPT-5.4,WizardLM,1,1593,"Explain the clinical management of Celiac Disease Serology, including when to repeat testing and how results guide follow-up decisions."
GPT-5.4,WizardLM,2,196,"Explain the clinical management of Irritable Bowel Syndrome (IBS) subtypes, including subtype-specific treatments, diagnostic considerations, and key differences in first-line management."
GPT-5.4,WizardLM,3,239,"Outline the criteria for diagnosing Polycystic Ovary Syndrome (PCOS) using the Rotterdam Criteria, and briefly explain each criterion step by step, including any required exclusions."
GPT-5.4,WizardLM,4,2126,"Outline the multidisciplinary management of SAPHO syndrome, including diagnostic challenges, pharmacologic options, and monitoring strategies."
GPT-5.4,WizardLM,5,1587,"Explain the clinical management of Barrett's Esophagus Surveillance in a stepwise format, and include key surveillance interval recommendations by dysplasia status."
GPT-5.4,WizardLM,6,1934,"Explain the clinical management of Erythema Nodosum, including differential diagnosis, common underlying causes, recommended investigations, treatment options, and indications for specialist referral."
GPT-5.4,WizardLM,7,1662,How does HIV viral load monitoring influence treatment decisions and prognosis in antiretroviral therapy?
GPT-5.4,WizardLM,8,486,"Explain the pathophysiology, diagnostic criteria, maternal-fetal risks, and what the definitive treatment for 'HELLP Syndrome' is."
GPT-5.4,WizardLM,9,790,"Explain the clinical management of gastroparesis, including diagnosis, first-line and refractory treatments, nutritional support, complications, and evidence-based patient-specific management considerations."
GPT-5.4,WizardLM,10,2078,"Explain the 'SIRS' criteria, including specific diagnostic thresholds, historical limitations, and its evolution toward the SOFA score in modern sepsis definitions."
GPT-5.4,WizardLM,11,2350,"Explain the clinical management of Hemochromatosis Screening, including risk stratification, diagnostic criteria, follow-up protocols, and implications for asymptomatic first-degree relatives."
GPT-5.4,WizardLM,12,1322,"Explain the biochemical and clinical components of the MELD score in liver transplant prioritization, including how each variable influences urgency and allocation decisions."
GPT-5.4,WizardLM,13,170,"Explain the clinical management of left atrial myxoma, including characteristic signs, diagnostic evaluation, perioperative treatment, surgical resection, and postoperative surveillance."
GPT-5.4,WizardLM,14,44,"Explain the Model for End-Stage Liver Disease (MELD) score, including bilirubin, INR, creatinine, and sodium, and its role in deceased-donor liver transplant waitlist prioritization."
GPT-5.4,WizardLM,15,56,"What are the characteristic biopsy findings in Minimal Change Disease? Explain step by step, correlating light microscopy, immunofluorescence, and electron microscopy findings."
GPT-5.4,WizardLM,16,175,"Summarize the evidence-based inpatient and outpatient clinical management of immune-mediated Heparin-Induced Thrombocytopenia (type II HIT), including diagnosis, anticoagulant substitution, platelet monitoring, and thrombosis prevention."
GPT-5.4,WizardLM,17,1580,"Explain the clinical management of CLL staging, outlining step-by-step reasoning, risk stratification, treatment indications, monitoring, and stage-specific therapeutic decisions."
GPT-5.4,WizardLM,18,1718,Analyze the diagnostic and treatment dilemmas of XDR-TB in conflict-affected healthcare systems with disrupted drug supply chains.
GPT-5.4,WizardLM,19,1453,How does porto-pulmonary hypertension develop in the setting of advanced cirrhosis?
GPT-5.4,WizardLM,20,1134,Outline the diagnostic workup and treatment strategy for livedoid vasculopathy.
GPT-5.4,WizardLM,21,2071,"What are the clinical, imaging, and laboratory indications for urgent versus elective surgical intervention in a patient with a small bowel obstruction?"
GPT-5.4,WizardLM,22,410,"Using non-contrast CT imaging, differentiate ischemic and hemorrhagic stroke, including key radiologic signs, common mimics, diagnostic limitations, and implications for immediate acute management."
GPT-5.4,WizardLM,23,2053,"Explain the pathophysiological mechanisms underlying type 1 and type 2 Hepatorenal Syndrome in advanced cirrhosis, including splanchnic vasodilation, reduced effective arterial blood volume, and renal vasoconstriction."
GPT-5.4,WizardLM,24,1688,Compare the clinical utility of anti-Müllerian hormone and inhibin B as biomarkers of granulosa cell function in assessing diminished ovarian reserve.
GPT-5.4,WizardLM,25,1972,"Explain the clinical management of Thrombotic Thrombocytopenic Purpura (TTP), including diagnosis, first-line and refractory treatments, monitoring, complications, and key differences between congenital and acquired forms."
GPT-5.4,WizardLM,26,528,"Describe the multidisciplinary management of Takayasu arteritis, including diagnostic evaluation, pharmacologic treatment, monitoring strategies, and indications for vascular intervention."
GPT-5.4,WizardLM,27,2073,"Explain the trauma surgery “lethal triad” in polytrauma resuscitation: metabolic acidosis, trauma-induced coagulopathy, and accidental hypothermia."
GPT-5.4,WizardLM,28,1178,"Explain the clinical management of Myelofibrosis Clinical Signs, emphasizing evidence-based interventions and briefly noting key diagnostic pitfalls to avoid."
GPT-5.4,WizardLM,29,1299,"Explain the 'Apgar Score' and its significance at 1 and 5 minutes, and include one brief example of clinical interpretation."
GPT-5.4,WizardLM,30,1117,"Explain the fundamental physical principles, biological effects, safety considerations, and clinical differences between ionizing radiation (CT) and non-ionizing radiation (MRI)."
GPT-5.4,WizardLM,31,527,"Explain the clinical management of Sarcoidosis, and include a brief comparison of first-line versus steroid-sparing treatment options."
GPT-5.4,WizardLM,32,2113,How is methanol poisoning treated with fomepizole?
GPT-5.4,WizardLM,33,789,Discuss the diagnostic workup and treatment strategy for Killian-Jamieson diverticulum.
GPT-5.4,WizardLM,34,1339,"Explain the clinical management of Wegener's Granulomatosis, including first-line treatment, monitoring strategies, and key contraindications to avoid."
GPT-5.4,WizardLM,35,1283,"Describe the management of Shoulder Dystocia using the HELPERR mnemonic, and include one brief caution about avoiding excessive fetal traction."
GPT-5.4,WizardLM,36,1452,Distinguish acute tubular necrosis from acute interstitial nephritis using urine microscopy and urinary indices.
GPT-5.4,WizardLM,37,1803,"Describe the clinical signs and diagnostic workup for acute infective endocarditis, and include one key pitfall that may delay diagnosis in early presentations."
GPT-5.4,WizardLM,38,173,"Explain the clinical management of Immune Thrombocytopenia (ITP), including diagnostic workup, first- and second-line treatments, emergency bleeding management, and special considerations in pregnancy and children."
GPT-5.4,WizardLM,39,2208,"Explain the role of cardiac biomarkers (Troponin I vs. T) in the diagnosis of NSTEMI, and include one brief note on potential false-positive elevations."
GPT-5.4,WizardLM,40,1717,Explain the difference between ionizing electromagnetic radiation used in computed tomography (CT) and non-ionizing radiofrequency fields used in magnetic resonance imaging (MRI).
GPT-5.4,WizardLM,41,1298,Describe the acute evaluation and evidence-based management of simple and complex febrile seizures in pediatric patients aged 6 months to 5 years.
GPT-5.4,WizardLM,42,188,Outline the perioperative management of Zenker’s diverticulum including diagnostic evaluation.
GPT-5.4,WizardLM,43,211,Which subtle prodromal neurological signs and early electromyographic or bulbar clinical indicators most strongly suggest the onset of Amyotrophic Lateral Sclerosis (ALS)?
GPT-5.4,WizardLM,44,1025,"In male breast cancer patients, what clinical and family history criteria warrant PALB2 germline testing, and how might a positive result influence cancer surveillance recommendations for relatives?"
GPT-5.4,WizardLM,45,2075,"Differentiate between incarcerated and strangulated hernias, and explain the distinction step by step, including blood supply, urgency, and clinical consequences."
GPT-5.4,WizardLM,46,1550,"Explain the clinical management of Hemochromatosis Screening, including current screening guidelines, diagnostic thresholds, risk stratification, follow-up protocols, and key controversies in practice."
GPT-5.4,WizardLM,47,1334,"Explain the evidence-based clinical management of biopsy-confirmed Erythema Nodosum, including differential diagnosis, etiologic workup, first-line treatment, and specialist referral indications."
GPT-5.4,WizardLM,48,2518,"Discuss the clinical diagnostic, pharmacologic, adherence, and infection-control challenges of managing multidrug-resistant pulmonary tuberculosis in low-income rural healthcare settings with limited laboratory capacity."
GPT-5.4,WizardLM,49,1954,Compare the diagnostic workup and long-term occupational health surveillance strategies for Chronic Beryllium Disease versus Hard Metal Lung Disease.
GPT-5.4,WizardLM,50,387,Describe the diagnostic workup and long-term follow-up strategy for gastric intestinal metaplasia in high-risk patients.
GPT-5.4,Stratified Sampling,1,1948,What medications are used to treat atrial arrhythmias?
GPT-5.4,Stratified Sampling,2,174,What is coronary artery disease?
GPT-5.4,Stratified Sampling,3,508,How do health services differ in access to funding for people with speech disorders after consultation?
GPT-5.4,Stratified Sampling,4,271,Does septal perforation repair cause endothelial cell loss?
GPT-5.4,Stratified Sampling,5,1081,Can cardiovascular risk factor modification reduce the excess risk of coronary artery disease in obese adolescents?
GPT-5.4,Stratified Sampling,6,1640,"Can obesity increase disease incidence in adults, and is assessment of body size inequality part of formal health management?"
GPT-5.4,Stratified Sampling,7,3485,"What are the outcomes of different procedures used to assess or treat the hip, including soft nail fixation or replacement techniques?"
GPT-5.4,Stratified Sampling,8,1712,What are the symptoms of a fatty acid oxidation disorder that can cause fatty acid buildup?
GPT-5.4,Stratified Sampling,9,584,"What is the accuracy of cardiopulmonary imaging, and is additional cine radiography necessary after a lung biopsy if digital imaging is inconclusive?"
GPT-5.4,Stratified Sampling,10,373,Can coronary heart disease risk be influenced by established cardiovascular risk factors present since childhood?
GPT-5.4,Stratified Sampling,11,2867,Is the diagnosis of thyroidectomy-related complications dependent on the need for specialized evaluation of cerebellar abnormalities?
GPT-5.4,Stratified Sampling,12,3658,Is there a scientific distinction between laparoscopic and thoracoscopic detection after incisions?
GPT-5.4,Stratified Sampling,13,1258,Can surgery involving the coronary arteries affect the pericardium?
GPT-5.4,Stratified Sampling,14,3243,Is there significant improvement in the severity of epilepsy compared with a patient with pernicious anemia?
GPT-5.4,Stratified Sampling,15,1319,Does daily tungsten consumption affect blood glucose levels or diabetes mellitus risk?
GPT-5.4,Stratified Sampling,16,3700,Does patellofemoral replacement affect the length or alignment of the knee joint?
GPT-5.4,Stratified Sampling,17,2988,What effect do predictive factors have on the survival of women by age with fetal or pregnancy-associated cancer?
GPT-5.4,Stratified Sampling,18,3653,"Are there differences in the rate of surgical procedures in a multi-hospital environment, and do advanced implants affect clinical protocols and procedures?"
GPT-5.4,Stratified Sampling,19,2192,How does nicotine exposure affect skin temperature in adults?
GPT-5.4,Stratified Sampling,20,342,What condition can cause chest wall deformity and macroglossia?
GPT-5.4,Stratified Sampling,21,3546,"What are the concerns regarding receptor absorption in the nervous system, and is the use of antianginal medication safe in patients with stomach disorders?"
GPT-5.4,Stratified Sampling,22,480,"What are the potentially life-threatening pediatric conditions in adults and children, and which diagnostic tools are used to identify them?"
GPT-5.4,Stratified Sampling,23,180,"What are the symptoms of colonic obstruction, and is a penetrating aortic ulcer associated with any specific syndrome?"
GPT-5.4,Stratified Sampling,24,1168,Is it safe to undergo routine lung cancer surgery before correction of hypercalcemia?
GPT-5.4,Stratified Sampling,25,787,Can liver injury be associated with ingestion of toothpaste?
GPT-5.4,Stratified Sampling,26,2460,How does regular treatment for post-traumatic stress disorder affect a person's ability to manage comorbid depression?
GPT-5.4,Stratified Sampling,27,1956,Is it recommended to treat sepsis or cholera after intravenous treatment complications?
GPT-5.4,Stratified Sampling,28,803,Is there geographic variation in dietary intake and healthcare utilization associated with social deprivation?
GPT-5.4,Stratified Sampling,29,3345,What is the treatment for people with chronic kidney disease and related metabolic acid-base disorders such as acidemias?
GPT-5.4,Stratified Sampling,30,128,What are the symptoms of type II epiphyseal dysplasia?
GPT-5.4,Stratified Sampling,31,1927,Is femoral vein patency still demonstrable after a preliminary assessment of inguinal vascular disease?
GPT-5.4,Stratified Sampling,32,2016,"When using advanced imaging techniques, do serum collagen biomarkers affect the diagnosis of cancer?"
GPT-5.4,Stratified Sampling,33,1214,Do cerebrovascular remodeling and related interventions improve short-term or long-term outcomes in patients with brain tumors?
GPT-5.4,Stratified Sampling,34,1597,What treatments are available for aphasia?
GPT-5.4,Stratified Sampling,35,46,How much research is being done to develop clinical trials for Zollinger-Ellison syndrome or SCID syndrome?
GPT-5.4,Stratified Sampling,36,3159,"What is the prevalence of apolipoprotein activity in patients with hematologic disorders, and how does it relate to urinary symptoms?"
GPT-5.4,Stratified Sampling,37,881,"How do people manage hormone-related disorders, and what factors influence long-term donor commitment in related treatment programs?"
GPT-5.4,Stratified Sampling,38,3285,Is the diagnosis of benign prostatic hyperplasia valid unless a testicular neoplasm is identified?
GPT-5.4,Stratified Sampling,39,336,What conditions are associated with high blood sugar and increased adipose tissue?
GPT-5.4,Stratified Sampling,40,2063,Which clinical rating scales are used to assess and quantify symptoms of depression?
GPT-5.4,Stratified Sampling,41,3214,"What is the incidence of polycystic kidney disease, and are some forms hormone-related?"
GPT-5.4,Stratified Sampling,42,2335,Can respiratory stress precede sleep-related breathing disorders?
GPT-5.4,Stratified Sampling,43,2561,What treatment approaches are effective for problematic substance use situations?
GPT-5.4,Stratified Sampling,44,333,What symptoms are associated with this syndrome?
GPT-5.4,Stratified Sampling,45,576,Can you provide information about thrombophlebitis or kidney disease?
GPT-5.4,Stratified Sampling,46,1067,What is hereditary hemochromatosis?
GPT-5.4,Stratified Sampling,47,3323,Can a nasal tampon or catheter be inserted to control localized epistaxis?
GPT-5.4,Stratified Sampling,48,3430,What are the symptoms of an esophageal tumor?
GPT-5.4,Stratified Sampling,49,1251,Do prolonged cardiopulmonary bypass times affect outcomes after heart surgery?
GPT-5.4,Stratified Sampling,50,226,What genetic changes are associated with hereditary alopecia syndromes?
GPT-5.4,Global Sampling,1,1408,How can dermatitis or gastritis be prevented?
GPT-5.4,Global Sampling,2,565,Can different medications and psychotherapy improve overall functioning in a young person with dissociative disorders?
GPT-5.4,Global Sampling,3,423,What are the different treatments for chronic ovarian cancer and cystic artery inflammation?
GPT-5.4,Global Sampling,4,1506,When should you see a doctor for a skin irritation caused by an insect bite or bug exposure?
GPT-5.4,Global Sampling,5,465,Should acute physical injuries sustained in rural hospitals and other rural centers be taken seriously in children?
GPT-5.4,Global Sampling,6,623,What are the treatments for chronic ovarian cancer and cystic artery inflammation?
GPT-5.4,Global Sampling,7,1166,Do psychologists measure the same level of emotional functioning in a young person with ADHD?
GPT-5.4,Global Sampling,8,459,Are there specific dietary instructions to follow when taking a medication such as tafamidis?
GPT-5.4,Global Sampling,9,658,Are there specific nutrition guidelines or dietary restrictions when taking a lipid-lowering medication?
GPT-5.4,Global Sampling,10,569,What information can a CT scan provide about gas-related conditions in the head?
GPT-5.4,Global Sampling,11,875,"How does pain affect chest wall integrity, and can a gas delivery disorder be caused by rupture of the intercostal muscles?"
GPT-5.4,Global Sampling,12,2065,Should acute physical injuries sustained in rural hospitals and other rural centers be taken seriously in children?
GPT-5.4,Global Sampling,13,699,"Who should receive bronchodilator injections, and why are they prescribed for asthma?"
GPT-5.4,Global Sampling,14,603,"What factors affect a person's risk of a premature heart attack and type 1 diabetes, and is there an inverse relationship with the severity of chronic diabetes?"
GPT-5.4,Global Sampling,15,1484,How many people are affected by mitochondrial disorders or glycoprotein deficiencies?
GPT-5.4,Global Sampling,16,764,What is the specificity of exposure-based therapy for social anxiety disorder?
GPT-5.4,Global Sampling,17,1666,What factors influence the cost of hospital admission during a medical emergency?
GPT-5.4,Global Sampling,18,133,Is hepatic syndrome a valid diagnosis when cardiopulmonary edema occurs in the setting of underlying heart disease?
GPT-5.4,Global Sampling,19,1893,What are the chronic effects of abnormal brain development on synaptic function?
GPT-5.4,Global Sampling,20,496,How does increased retrograde pressure affect renal function in patients with kidney inflammation?
GPT-5.4,Global Sampling,21,1083,What causes a high heart rate or forceful heart contractions?
GPT-5.4,Global Sampling,22,1196,Is time-dependent clinical involvement correlated with residual cancer in pediatric cancer?
GPT-5.4,Global Sampling,23,1069,What should a person do if they forget a dose of a medication?
GPT-5.4,Global Sampling,24,853,Can CT scans and ultrasound diagnose advanced cystic lesions or bone and vascular cancer when there has been no assessment of the patient's anatomy?
GPT-5.4,Global Sampling,25,1821,"What is the treatment for a cerebrospinal aneurysm, and what is the role of low-glucose cerebrospinal fluid findings?"
GPT-5.4,Global Sampling,26,2080,What causes different levels of pain and inflammation in diabetes mellitus?
GPT-5.4,Global Sampling,27,1772,"What is the function of the pleura, and can pleural disease affect the kidneys?"
GPT-5.4,Global Sampling,28,577,Does smoking increase or reduce the risk of asthma in a child?
GPT-5.4,Global Sampling,29,584,How are femoral instability and spinal cord axonal injury evaluated in a patient with an implanted defibrillator?
GPT-5.4,Global Sampling,30,1204,Should differences in blood glucose levels and diet quality be taken into account when evaluating the health and lifestyle of people with gestational diabetes?
GPT-5.4,Global Sampling,31,1335,Do age-specific metabolic factors contribute to an increased risk of pain in central nervous system vascular disease?
GPT-5.4,Global Sampling,32,1826,Is there an increased incidence of epilepsy or gastrointestinal dysmotility in people with Parkinson's disease?
GPT-5.4,Global Sampling,33,33,Does prolonged labor and delivery affect pregnancy outcomes compared with lower-than-average fetal growth or maternal arthritis?
GPT-5.4,Global Sampling,34,1097,"Who should receive treatment for leprosy, and why is it prescribed?"
GPT-5.4,Global Sampling,35,1551,How does fetal edema affect arterial blood flow and intracranial pressure following cardiac injury?
GPT-5.4,Global Sampling,36,870,What should you do if you forget a dose of Betaspermone or a Snazeazole medication?
GPT-5.4,Global Sampling,37,1413,"Is the prognosis of laryngomalacia better when the original laryngeal disorder is less severe, and worse when the patient has a serious neurologic condition?"
GPT-5.4,Global Sampling,38,62,How do selective antidepressants affect the development of personality disorders or suicidal behavior?
GPT-5.4,Global Sampling,39,558,What are the symptoms of emphysema and dermatitis?
GPT-5.4,Global Sampling,40,1002,"What are the symptoms and pathophysiology of primary motor dysfunction in the peripheral nervous system, also called peripheral neuropathy?"
GPT-5.4,Global Sampling,41,1628,What are the genetics and morphology of an inherited palindromic syndrome?
GPT-5.4,Global Sampling,42,269,What should a person do if they forget a dose of a prescribed medication?
GPT-5.4,Global Sampling,43,108,Should you see a doctor for a suspected hypertension-related tumor variant?
GPT-5.4,Global Sampling,44,1063,How can clinicians estimate the risk of severe extravascular hemolysis in a school-aged child?
GPT-5.4,Global Sampling,45,887,How many people are affected by atherosclerosis?
GPT-5.4,Global Sampling,46,319,"Can hyperglycemia or toxemia in a child contribute to developmental disadvantage, and is increased calorie retention in adolescents beneficial?"
GPT-5.4,Global Sampling,47,1664,How are hospital admission decisions made in the management of pediatric trauma?
GPT-5.4,Global Sampling,48,452,Is computed imaging or thrombolysis more likely to diagnose or treat a caustic or ectopic tumor-related injury?
GPT-5.4,Global Sampling,49,1369,Is a CT scan useful for evaluating gas-related conditions or head injuries?
GPT-5.4,Global Sampling,50,1998,Do salivary biomarkers influence cancer prevention and treatment strategies in breast cancer?
